altitude_m,density_kg_m3,scale_height_m
0,1.2250,8440
25000,3.8990e-2,6490
30000,1.7740e-2,6750
35000,8.2790e-3,7070
40000,3.9720e-3,7470
45000,1.9950e-3,7830
50000,1.0570e-3,7950
55000,5.8210e-4,7730
60000,3.2060e-4,7290
65000,1.7180e-4,6810
70000,8.7700e-5,6330
75000,4.1780e-5,6000
80000,1.9050e-5,5700
85000,8.3370e-6,5410
90000,3.3960e-6,5380
95000,1.3430e-6,5740
100000,5.3000e-7,6150
110000,9.6600e-8,8060
120000,2.4400e-8,11600
130000,8.4800e-9,16100
140000,3.8500e-9,20600
150000,2.0700e-9,24600
160000,1.2200e-9,26300
180000,5.4600e-10,33200
200000,2.7900e-10,38500
250000,7.2500e-11,46900
300000,2.4200e-11,52500
350000,9.1600e-12,56400
400000,3.7300e-12,59400
450000,1.5900e-12,62200
500000,6.9700e-13,65800
600000,1.4500e-13,79000
700000,3.6100e-14,109000
800000,1.1700e-14,164000
900000,5.2500e-15,225000
1000000,3.0200e-15,268000
